,pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_rade,st_rad,st_mass,st_met,sy_dist,decade_of_discovery,pl_type,st_compactness
1312,K2-290 c,K2-290,3,2,Transit,2019,48.36685,11.276,1.51,1.19,-0.06,272.909,2010s,Jovian,0.7880794701986754
1313,K2-291 b,K2-291,1,1,Transit,2019,2.225177,1.589,0.9,0.93,0.08,90.0562,2010s,Super-Earth,1.0333333333333334
1314,K2-292 b,K2-292,1,1,Transit,2019,16.9841,2.63,1.09,1.0,0.07,114.293,2010s,Sub-Neptune,0.9174311926605504
1315,K2-293 b,K2-293,1,1,Transit,2019,13.1225,2.45,0.95,0.96,0.218,392.251,2010s,Sub-Neptune,1.0105263157894737
1316,K2-294 b,K2-294,1,1,Transit,2019,2.50387,1.66,1.2,0.99,0.194,373.078,2010s,Super-Earth,0.8250000000000001
1317,K2-295 b,K2-295,1,1,Transit,2018,4.024867,10.054,0.7,0.74,0.14,232.801,2010s,Jovian,1.0571428571428572
1318,K2-3 b,K2-3,1,3,Transit,2015,10.054626,1.98,0.56,0.6,-0.32,44.0727,2010s,Sub-Neptune,1.0714285714285714
1319,K2-3 c,K2-3,1,3,Transit,2015,24.646582,1.56,0.56,0.6,-0.32,44.0727,2010s,Super-Earth,1.0714285714285714
1320,K2-3 d,K2-3,1,3,Transit,2015,44.55646,1.53,0.56,0.6,-0.32,44.0727,2010s,Super-Earth,1.0714285714285714
1321,K2-30 b,K2-30,1,1,Transit,2016,4.098503,11.646,0.84,0.9,-0.15,333.042,2010s,Jovian,1.0714285714285714
1322,K2-308 b,K2-308,1,1,Transit,2019,3.38628,9.916,1.24,1.09,-0.1,1314.53,2010s,Jovian,0.8790322580645162
1323,K2-31 b,K2-31,2,1,Transit,2016,1.25785,11.882,0.78,0.91,0.08,110.527,2010s,Jovian,1.1666666666666667
1324,K2-315 b,K2-315,1,1,Transit,2020,3.1443189,0.95,0.2,0.17,-0.24,56.9686,2020s,Terrestrial,0.85
1325,K2-32 b,K2-32,2,4,Transit,2016,8.992,5.299,0.86,0.83,-0.06,157.682,2010s,Sub-Jovian,0.9651162790697674
1326,K2-32 c,K2-32,2,4,Transit,2016,20.66093,3.134,0.86,0.83,-0.06,157.682,2010s,Sub-Neptune,0.9651162790697674
1327,K2-32 d,K2-32,2,4,Transit,2016,31.71701,3.484,0.86,0.83,-0.06,157.682,2010s,Sub-Neptune,0.9651162790697674
1328,K2-32 e,K2-32,2,4,Transit,2019,4.34934,1.212,0.86,0.83,-0.06,157.682,2010s,Super-Earth,0.9651162790697674
1329,K2-329 b,K2-329,1,1,Transit,2020,12.4551225,8.676,0.82,0.9,0.098,233.237,2020s,Jovian,1.0975609756097562
1330,K2-330 b,K2-330,1,1,Transit,2016,13.774798,2.77,1.5,1.23,-0.03,160.125,2010s,Sub-Neptune,0.82
1331,K2-331 b,K2-331,1,2,Transit,2021,9.398977,1.79,1.06,1.1,0.08,211.43,2020s,Sub-Neptune,1.0377358490566038
1332,K2-331 c,K2-331,1,2,Transit,2018,22.996591,2.72,1.06,1.1,0.08,211.43,2010s,Sub-Neptune,1.0377358490566038
1333,K2-332 b,K2-332,1,1,Transit,2016,17.70632,2.2,0.28,0.27,0.09,123.202,2010s,Sub-Neptune,0.9642857142857143
1334,K2-333 b,K2-333,1,1,Transit,2018,14.759287,6.18,1.22,1.06,0.07,343.99,2010s,Jovian,0.8688524590163935
1335,K2-334 b,K2-334,1,1,Transit,2018,5.113981,5.65,1.49,1.36,0.17,371.823,2010s,Sub-Jovian,0.9127516778523491
1336,K2-335 b,K2-335,1,1,Transit,2016,12.283211,2.21,1.33,1.23,0.1,557.993,2010s,Sub-Neptune,0.9248120300751879
1337,K2-336 b,K2-336,1,1,Transit,2016,21.194733,1.22,0.8,0.86,-0.17,239.289,2010s,Super-Earth,1.075
1338,K2-337 b,K2-337,1,1,Transit,2016,16.273563,2.62,1.32,0.94,-0.27,421.636,2010s,Sub-Neptune,0.712121212121212
1339,K2-338 b,K2-338,1,1,Transit,2016,3.850614,1.03,0.63,0.66,-0.23,156.951,2010s,Super-Earth,1.0476190476190477
1340,K2-339 b,K2-339,1,1,Transit,2019,19.507428,1.92,0.72,0.74,-0.11,360.36,2010s,Sub-Neptune,1.027777777777778
1341,K2-34 b,K2-34,1,1,Transit,2016,2.9956348,13.75,1.42,1.16,0.01,348.646,2010s,Jovian,0.8169014084507042
1342,K2-340 b,K2-340,1,1,Transit,2016,29.740451,3.36,1.13,0.93,0.08,738.136,2010s,Sub-Neptune,0.8230088495575223
1343,K2-341 b,K2-341,1,1,Transit,2018,36.552551,3.21,1.16,0.98,-0.05,421.408,2010s,Sub-Neptune,0.8448275862068966
1344,K2-342 b,K2-342,1,1,Transit,2018,11.561052,2.03,1.09,1.01,-0.06,208.357,2010s,Sub-Neptune,0.9266055045871558
1345,K2-343 b,K2-343,1,2,Transit,2019,2.787174,1.65,0.46,0.49,-0.1,166.169,2010s,Super-Earth,1.0652173913043477
1346,K2-343 c,K2-343,1,2,Transit,2018,7.676972,2.02,0.46,0.49,-0.1,166.169,2010s,Sub-Neptune,1.0652173913043477
1347,K2-344 b,K2-344,1,1,Transit,2018,3.35585,1.59,0.49,0.51,-0.95,75.1691,2010s,Super-Earth,1.0408163265306123
1348,K2-345 b,K2-345,1,1,Transit,2016,10.367437,2.11,0.52,0.56,0.26,162.408,2010s,Sub-Neptune,1.076923076923077
1349,K2-346 b,K2-346,1,1,Transit,2016,26.201446,2.26,0.7,0.71,-0.18,105.58,2010s,Sub-Neptune,1.0142857142857142
